brand_name,model_name,condition_name,grade_name,gb_spec_name,colour_name,network_name,,,,,count
Acer,"Liquid E2","Non-working - Need Battery","Grade C - Acceptable Condition",2GB,Black,Unlocked,,,,,1
Acer,"Liquid E2",Non-working,Unknown,2GB,Black,Damaged,,,,,1
Acer,"Liquid E2","Non-working - Need Battery","Grade A - Very Good Condition",2GB,White,Unlocked,,,,,1
Acer,"LIQUID E3","Brand New","Insurance Grade",4GB,Black,Unlocked,,,,,2
Acer,"LIQUID E3","Brand New","Insurance Grade",4GB,Grey,Unlocked,,,,,2
Acer,"LIQUID E3",Working,"Grade B - Good Condition",4GB,Black,Unlocked,,,,,1
Acer,"LIQUID E600","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,,,,,1
Acer,"LIQUID E600",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,1
Acer,"LIQUID E600","Non-working - Need Repair - Software","Insurance Grade","Not Applicable",Black,Unlocked,,,,,1
Acer,"LIQUID E600","Brand New","Insurance Grade","Not Applicable",Silver,Unlocked,,,,,1
Acer,"LIQUID EXPRESS E320","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Grey,Unlocked,,,,,3
Acer,"LIQUID EXPRESS E320","Non-working - Need Battery","Grade C - Acceptable Condition","Not Applicable",Grey,Unlocked,,,,,1
Acer,"LIQUID EXPRESS E320","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Grey,Unlocked,,,,,1
Acer,"LIQUID GLOW E330","Non-working - Need Battery","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,1
Acer,"LIQUID GLOW E330",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,4
Acer,"LIQUID JADE S55","Brand New","Insurance Grade",8GB,White,Unlocked,,,,,1
Acer,"LIQUID JADE S55","Brand New","Insurance Grade",8GB,Black,Unlocked,,,,,2
Acer,"LIQUID JADE S55",Working,"Grade A - Very Good Condition",8GB,White,Unlocked,,,,,1
Acer,"LIQUID JADE Z","Brand New","Insurance Grade",8GB,Black,Unlocked,,,,,2
Acer,"LIQUID S1","Non-working - Need Battery","Not Graded",8GB,Black,"EE Network",,,,,2
Acer,"LIQUID Z110","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,3
Acer,"LIQUID Z110",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,5
Acer,"LIQUID Z110",Working,"Grade B B2B","Not Applicable",Black,Unlocked,,,,,2
Acer,"LIQUID Z110",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,4
Acer,"LIQUID Z110","Non-working - Need Repair - Software","Grade C - Acceptable Condition","Not Applicable",White,Unlocked,,,,,1
Acer,"LIQUID Z110",Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,,,,,1
Acer,"LIQUID Z110","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,6
Acer,"LIQUID Z110","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,,,,,1
Acer,"LIQUID Z110","Brand New","Insurance Grade","Not Applicable",White,Unlocked,,,,,1
Acer,"liquid z2",Working,"Grade B - Good Condition",2GB,Black,Unlocked,,,,,3
Acer,"liquid z2",Working,"Grade A - Very Good Condition",2GB,Black,Unlocked,,,,,4
Acer,"liquid z2",Working,"Grade A - Very Good Condition",2GB,White,Unlocked,,,,,1
Acer,"liquid z2",Working,"Grade C - Acceptable Condition",2GB,Black,Unlocked,,,,,1
Acer,"LIQUID Z200","Non-working - Need Battery","Not Graded",4GB,Black,"EE Network",,,,,1
Acer,"LIQUID Z220",Working,"Grade A - Very Good Condition",8GB,Black,Unlocked,,,,,1
Acer,"LIQUID Z220",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,,,,,1
Acer,"LIQUID Z220","Non-working - Need Battery","Not Graded",8GB,Black,"EE Network",,,,,1
Acer,"LIQUID Z220","Non-working - Need Battery","Not Graded",8GB,White,"EE Network",,,,,2
Acer,"liquid z4",Working,"Grade A - Very Good Condition",4GB,Black,Unlocked,,,,,3
Acer,"liquid z4","Brand New","Insurance Grade",4GB,Black,Unlocked,,,,,2
Acer,"liquid z4",Working,"Grade B - Good Condition",4GB,Black,Unlocked,,,,,1
Acer,"liquid z4",Working,"Not Graded",4GB,Black,Unlocked,,,,,1
Acer,"liquid z4","Non-working - Need Battery","Grade A - Very Good Condition",4GB,White,Unlocked,,,,,1
Acer,"liquid z4","Non-working - Need Battery","Grade B - Good Condition",4GB,White,Damaged,,,,,1
Acer,"liquid z4","Non-working - Need Battery","Grade A - Very Good Condition",4GB,Black,Unlocked,,,,,2
Acer,"liquid z4",Non-working,Unknown,4GB,Pink,Damaged,,,,,1
Acer,"liquid z4","Non-working - Need Battery","Grade A - Very Good Condition",4GB,Pink,Unlocked,,,,,1
Acer,"LIQUID Z410","Non-working - Need Battery","Not Graded",8GB,Black,"EE Network",,,,,2
Acer,"LIQUID Z5",Working,"Grade A - Very Good Condition",4GB,Grey,Unlocked,,,,,1
Acer,"LIQUID Z5","Brand New","Insurance Grade",4GB,Black,Unlocked,,,,,1
Acer,"LIQUID Z5","Brand New","Insurance Grade",4GB,White,Unlocked,,,,,2
Acer,"Liquid Z5 Duo","Working - Minor Issue","Grade D",4GB,Grey,Unlocked,,,,,1
Acer,"LIQUID Z500",Working,"Grade A - Very Good Condition",4GB,Silver,Unlocked,,,,,1
Acer,"LIQUID Z500",Non-working,"Grade A - Very Good Condition",4GB,Silver,Unlocked,,,,,1
Acer,"LIQUID Z500",Working,"Grade C - Acceptable Condition",4GB,Black,Unlocked,,,,,1
Acer,"P223W - MONITOR",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",,,,,1
Acer,"V173 MONITOR",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",,,,,2
Acer,V193HQV,Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",,,,,2
ADMET,V10,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,1
Advent," 7113 1.73GHz 1GB RAM 80GB HDD 15.4 Inch",BER,"Not Graded","Not Applicable",Black,"Not Applicable",,,,,1
AEROFLEX,"9102 HANDHELD SPECTRUM ANALYZER -  HSA 9102B",Working,"Grade B - Good Condition","Not Applicable",Black,"Not Applicable",,,,,1
AIRFORCE,"WATER PROOF POUCH","Brand New","Brand New","Not Applicable",Blue,"Not Applicable",,,,,9
AIRFORCE,"WATER PROOF POUCH","Brand New","Brand New","Not Applicable",Red,"Not Applicable",,,,,13
AIRFORCE,"WATER PROOF POUCH","Brand New","Insurance Grade","Not Applicable",Red,"Not Applicable",,,,,1
AIRFORCE,"WATER PROOF POUCH","Brand New","Insurance Grade","Not Applicable",Blue,"Not Applicable",,,,,1
AIRTIES,"AIR 4420-TV WIRELESS","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",,,,,1
AKASA,"PROCESSOR COOLER - AK 785SE","Brand New","Insurance Grade","Not Applicable",Black,"Not Applicable",,,,,4
ALBA,AC50FNE,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,1
ALBA,AC50FNE,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,1
ALBA,ACF18,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,O2,,,,,1
ALBA,ACF18,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,4
ALBA,ACF18,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,1
ALBA,ACF28,BER-Scrap,"Grade D","Not Applicable",Purple,Damaged,,,,,1
ALBA,ACSE2G,BER-Scrap,"Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,1
Alcatel," ONE TOUCH OT 983",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,10.16,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,17
Alcatel,10.16,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,16
Alcatel,10.16,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,10.16,Non-working,"Grade D","Not Applicable",Black,Tesco-Mobile,,,,,1
Alcatel,10.16,Working,"Grade B B2B","Not Applicable",Black,Unlocked,,,,,18
Alcatel,10.16,"Power On Tested-Good LCD",Unknown,"Not Applicable",Black,Tesco-Mobile,,,,,1
Alcatel,10.16,Working,"Grade D","Not Applicable",Black,Unlocked,,,,,4
Alcatel,10.16,Non-working,Unknown,"Not Applicable",Black,Tesco-Mobile,,,,,1
Alcatel,10.16,"Power On Tested-Good LCD","Grade B - Good Condition","Not Applicable",Black,Tesco-Mobile,,,,,1
Alcatel,10.16,BER,"Grade C - Acceptable Condition","Not Applicable",Black,Unknown,,,,,1
Alcatel,10.16,BER,"Grade D","Not Applicable",Black,Unknown,,,,,1
Alcatel,10.16,"Brand New","Brand New","Not Applicable",Black,Unlocked,,,,,3
Alcatel,10.16,Working,"Grade C - Acceptable Condition","Not Applicable",Black,"EE Network",,,,,2
Alcatel,"1010 TES BLK",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,5
Alcatel,"1010 TES BLK",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,6
Alcatel,"1010 TES BLK",BER,"Grade D","Not Applicable",Black,Tesco-Mobile,,,,,1
Alcatel,1010X,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,6
Alcatel,1010X,Working,"Grade D","Not Applicable",Black,Unlocked,,,,,6
Alcatel,1010X,"Power On Tested-Broken LCD","Grade C - Acceptable Condition","Not Applicable",Black,Tesco-Mobile,,,,,1
Alcatel,1010X,BER,"Grade D","Not Applicable",Black,Tesco-Mobile,,,,,1
Alcatel,1010X,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,5
Alcatel,1010X,BER,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1010X,"Working - Need Battery Cover","Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,3
Alcatel,1010X,BER,"Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,,,,,1
Alcatel,1010X,"Non-working - Need Battery Cover","Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,8
Alcatel,1010X,"Non-working - Unlock","Grade B - Good Condition","Not Applicable",Black,Virgin,,,,,1
Alcatel,1010X,BER,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1010X,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,,,,,2
Alcatel,1010X,BER,"Grade D","Not Applicable",Black,NOS-Portugal,,,,,1
Alcatel,1010X,"Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,,,,,1
Alcatel,1010X,"Non-working - Need Battery Cover","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,3
Alcatel,1010X,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1010X,Non-working,Unknown,"Not Applicable",Black,NOS-Portugal,,,,,2
Alcatel,1010X,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,3
Alcatel,1010X,BER-Scrap,"Grade D","Not Applicable",Black,Damaged,,,,,1
Alcatel,1010X,Working,"Grade D",1GB,Black,Unlocked,,,,,1
Alcatel,1010X,Working,"Grade D",1GB,Black,Virgin,,,,,1
Alcatel,1013X,Working,"Grade B - Good Condition","Not Applicable","Bluish Black",Unlocked,,,,,25
Alcatel,1013X,Working,"Grade B B2B","Not Applicable","Bluish Black",Unlocked,,,,,8
Alcatel,1013X,Working,"Grade A - Very Good Condition","Not Applicable","Bluish Black",Unlocked,,,,,12
Alcatel,1013X,"Brand New","Insurance Grade","Not Applicable","Bluish Black",Unlocked,,,,,5
Alcatel,1013X,Working,"Grade C - Acceptable Condition","Not Applicable","Bluish Black",Unlocked,,,,,3
Alcatel,1013X,"Non-working - Unlock","Grade B - Good Condition","Not Applicable","Bluish Black",Virgin,,,,,2
Alcatel,1013X,"Non-working - Unlock","Grade C - Acceptable Condition","Not Applicable",Black,Virgin,,,,,1
Alcatel,1013X,"Non-working - Need Battery Cover And Battery","Grade B - Good Condition","Not Applicable","Bluish Black",Virgin,,,,,1
Alcatel,1013X,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,1
Alcatel,1013X,"Working - Need Battery Cover","Grade C - Acceptable Condition","Not Applicable",Blue,"EE Network",,,,,1
Alcatel,1013X,Working,"Insurance Grade","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1016D,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,2
Alcatel,1016D,"Brand New","Brand New","Not Applicable",White,Unlocked,,,,,1
Alcatel,1016G,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,109
Alcatel,1016G,Working,"Grade B B2B","Not Applicable",Black,Unlocked,,,,,36
Alcatel,1016G,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,17
Alcatel,1016G,Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,,,,,4
Alcatel,1016G,Working,"Grade B - Good Condition","Not Applicable",White,Unlocked,,,,,34
Alcatel,1016G,Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1016G,Working,"Grade B B2B","Not Applicable",White,Unlocked,,,,,2
Alcatel,1016G,"Power On Tested-Good LCD","Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1016G,Working,"Grade D","Not Applicable",Black,Unlocked,,,,,5
Alcatel,1016G,Working,"Grade B - Good Condition","Not Applicable",Black,Virgin,,,,,1
Alcatel,1016G,"Working - Need Battery Cover","Grade B - Good Condition","Not Applicable",Black,Virgin,,,,,1
Alcatel,1016G,"Non-working - Need Battery Cover","Grade B - Good Condition","Not Applicable",Black,Virgin,,,,,1
Alcatel,1016G,"Non-working - Unlock","Grade C - Acceptable Condition","Not Applicable",Black,Virgin,,,,,1
Alcatel,1016G,Non-working,Unknown,"Not Applicable",Black,Unlocked,,,,,1
Alcatel,1016G,"Non-working - Unlock","Grade B - Good Condition","Not Applicable",White,Virgin,,,,,1
Alcatel,1016G,"Brand New","Brand New","Not Applicable",Black,Unlocked,,,,,300
Alcatel,1016G,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,17
Alcatel,1016G,"Power On Tested-Good LCD","Grade D","Not Applicable",Black,Damaged,,,,,1
Alcatel,1016G,Working,"Grade C - Acceptable Condition","Not Applicable",Grey,O2,,,,,1
Alcatel,1016G,Working,"Grade C - Acceptable Condition","Not Applicable",Black,"EE Network",,,,,8
Alcatel,1016G,"Working - Minor Issue","Grade D","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1016G,Working,"Grade D","Not Applicable",Black,"EE Network",,,,,1
Alcatel,1016G,"Working – Minor Screen Burn","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1016G,"Working - Minor Issue","Grade D",1GB,Black,"EE Network",,,,,1
Alcatel,1016G,"Working - Minor Issue","Grade D",1GB,Black,Unlocked,,,,,1
Alcatel,1016G,Working,"Grade C - Acceptable Condition",1GB,Black,Unlocked,,,,,1
Alcatel,1016G,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Vodafone,,,,,1
Alcatel,1016G,Working,"Grade C - Acceptable Condition","Not Applicable",Grey,Unlocked,,,,,1
Alcatel,1035,Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,,,,,3
Alcatel,1035,"Brand New","Brand New","Not Applicable","DARK CHOCOLATE",Unlocked,,,,,340
Alcatel,1035X,"Brand New","Insurance Grade","Not Applicable",Red,Unlocked,,,,,7
Alcatel,1035X,Working,"Grade B B2B","Not Applicable",Red,Unlocked,,,,,3
Alcatel,1035X,Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,,,,,14
Alcatel,1035X,"Brand New","Insurance Grade","Not Applicable",White,Unlocked,,,,,12
Alcatel,1035X,Working,"Grade B - Good Condition","Not Applicable",White,Unlocked,,,,,3
Alcatel,1035X,"Brand New","Brand New","Not Applicable",White,Unlocked,,,,,105
Alcatel,1035X,"Non-working - Unlock","Grade A - Very Good Condition","Not Applicable",White,Lebara,,,,,1
Alcatel,1035X,Working,"Grade A - Very Good Condition","Not Applicable",Red,Unlocked,,,,,2
Alcatel,1035X,Working,"Grade B - Good Condition","Not Applicable",Red,Unlocked,,,,,4
Alcatel,1035X,"Working - Need Battery Cover and Battery","Grade A - Very Good Condition","Not Applicable","DARK CHOCOLATE",Unlocked,,,,,4
Alcatel,1035X,"Working - Need Battery Cover","Grade A - Very Good Condition","Not Applicable","DARK CHOCOLATE",Unlocked,,,,,3
Alcatel,1035X,Working,"Grade A - Very Good Condition","Not Applicable","DARK CHOCOLATE",Unlocked,,,,,53
Alcatel,1035X,Working,"Grade B - Good Condition","Not Applicable","DARK CHOCOLATE",Unlocked,,,,,4
Alcatel,1035X,Working,"Insurance Grade","Not Applicable","DARK CHOCOLATE",Unlocked,,,,,8
Alcatel,1035X,Non-working,Unknown,"Not Applicable","DARK CHOCOLATE",NOS-Portugal,,,,,3
Alcatel,1035X,Working,"Grade A - Very Good Condition","Not Applicable","DARK CHOCOLATE",NOS-Portugal,,,,,2
Alcatel,1035X,"Working - Need Battery Cover","Grade A - Very Good Condition","Not Applicable","DARK CHOCOLATE",NOS-Portugal,,,,,4
Alcatel,1035X,"Non-working - Need Repair - HardWare",Unknown,"Not Applicable","DARK CHOCOLATE",Unlocked,,,,,2
Alcatel,1035X,Working,"Grade C - Acceptable Condition","Not Applicable","DARK CHOCOLATE",Unlocked,,,,,1
Alcatel,1035X,"Working - Minor Issue","Grade C - Acceptable Condition","Not Applicable","DARK CHOCOLATE",NOS-Portugal,,,,,1
Alcatel,1035X,"Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable","DARK CHOCOLATE",NOS-Portugal,,,,,1
Alcatel,1035X,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,2
Alcatel,1035X,Working,"Grade D","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1040x,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",White,Damaged,,,,,1
Alcatel,1042X,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,3
Alcatel,1042X,Non-working,Unknown,"Not Applicable",Black,Unknown,,,,,1
Alcatel,1042X,"Non-working - Unlock","Grade C - Acceptable Condition","Not Applicable",Black,Foreign,,,,,1
Alcatel,1042X,"Power On Tested-Broken LCD","Grade D","Not Applicable",Black,Unknown,,,,,1
Alcatel,1042X,"Power On Tested-Broken LCD","Grade C - Acceptable Condition","Not Applicable",Black,Unknown,,,,,1
Alcatel,1052G,"Non-working - Need Battery Cover And Battery","Grade B - Good Condition","Not Applicable",Black,NOS-Portugal,,,,,4
Alcatel,1052G,"Non-working - Need Battery Cover","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1052G,"Non-working - Need Battery Cover","Grade B - Good Condition","Not Applicable",Black,NOS-Portugal,,,,,1
Alcatel,1052G,"Non-working - Need Battery Cover","Insurance Grade","Not Applicable",Black,NOS-Portugal,,,,,1
Alcatel,1052G,"Brand New","Brand New","Not Applicable",Black,Unlocked,,,,,15
Alcatel,1052G,"Non-working - DeBrand","Grade C - Acceptable Condition","Not Applicable",Black,NOS-Portugal,,,,,2
Alcatel,1052G,"Non-working - DeBrand","Grade A - Very Good Condition","Not Applicable",Black,NOS-Portugal,,,,,1
Alcatel,1052G,"Non-working - DeBrand","Grade B - Good Condition","Not Applicable",Black,NOS-Portugal,,,,,1
Alcatel,1052G,"Working - Need Battery Cover","Grade B - Good Condition","Not Applicable",Black,NOS-Portugal,,,,,2
Alcatel,1052G,"Non-working - Need Battery Cover","Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1052G,"Power On Tested-Good LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,1
Alcatel,1052G,Working,"Grade C - Acceptable Condition","Not Applicable",Black,Vodafone,,,,,1
Alcatel,1054X,"Non-working - Need Battery Cover And Battery","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1054X,"Non-working - Need Battery Cover And Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,1
Alcatel,1054X,"Awaiting Parts",Unknown,"Not Applicable",Black,Unlocked,,,,,3
Alcatel,1054X,Working,"Grade C - Acceptable Condition",1GB,Black,Vodafone,,,,,1
Alcatel,132,"Power On Tested-Broken LCD","Grade C - Acceptable Condition","Not Applicable",Black,Damaged,,,,,1
Alcatel,"20 01 T BLK","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,,,,,1
Alcatel,"20 01 T BLK",Working,"Grade D","Not Applicable",Black,Unlocked,,,,,3
Alcatel,"20 01 T BLK",BER,Unknown,"Not Applicable",Black,Tesco-Mobile,,,,,1
Alcatel,20.04,Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,,,,,6
Alcatel,20.04,Working,"Grade D","Not Applicable",Black,Unlocked,,,,,1
